대분류,중분류,소분류,발명의 명칭,출원일,대표출원인 국적
UAM,기체•부품,기계•전기전자 시스템,Flight control safety system,2020.02.25,US
UAM,기체•부품,기체구조,Engine anticipation for rotary-wing aircraft,2008.02.06,US
UAM,기체•부품,기체구조,Engine anticipation for rotary wing aircraft,2008.05.07,US
UAM,기체•부품,기체구조,Engine anticipation for rotary wing aircraft,2008.05.07,US
UAM,기체•부품,기계•전기전자 시스템,Flight control system for flying object,2011.12.08,JP
UAM,기체•부품,기체구조,Automatic dual rotor speed control for helicopters,2006.09.28,US
UAM,기체•부품,기체구조,Automatic dual rotor speed control for helicopters,2006.09.29,US
UAM,기체•부품,기체구조,Automatic dual rotor speed control for helicopters,2006.09.29,US
UAM,기체•부품,기체구조,Automatic dual rotor speed control for helicopters,2006.09.29,US
UAM,기체•부품,기체구조,Flight control system and method with track maintenance for a rotary wing aircraft,2015.06.25,FR
UAM,기체•부품,기계•전기전자 시스템,"Real time rotor head moment measurement, control, and limiting",2021.06.22,US
UAM,기체•부품,기계•전기전자 시스템,Rotor speed management,2015.09.30,US
UAM,기체•부품,기계•전기전자 시스템,Rotor speed management,2015.09.30,US
UAM,기체•부품,기계•전기전자 시스템,Control system for rotorcraft for preventing the vortex ring state,2005.03.01,US
UAM,기체•부품,기계•전기전자 시스템,Control system for rotorcraft for preventing the vortex ring state,2003.05.06,US
UAM,기체•부품,기계•전기전자 시스템,Method and apparatus for preventing adverse effects of vortex ring state,2004.05.04,US
UAM,기체•부품,기계•전기전자 시스템,Method and apparatus for preventing adverse effects of vortex ring state,2004.05.04,US
UAM,기체•부품,기계•전기전자 시스템,Method and apparatus for preventing adverse effects of vortex ring state,2004.05.04,US
UAM,기체•부품,기체구조,Flight control cockpit modes in ducted fan vtol vehicles,2007.11.29,IL
UAM,기체•부품,기체구조,Flight control cockpit modes in ducted fan vtol vehicles,2007.11.29,IL
UAM,기체•부품,기체구조,Attitude-coupled targeting system for rotary wing aircraft,2017.05.22,US
UAM,기체•부품,기계•전기전자 시스템,Tethered gyroglider control systems,2013.02.27,US
UAM,기체•부품,기계•전기전자 시스템,Tethered gyroglider control systems,2013.02.27,US
UAM,기체•부품,기체구조,Flight control system for controlling the pitch of an aircraft with vertical takeoff and with an orientable lift direction,2002.11.13,FR
UAM,기체•부품,기계•전기전자 시스템,Flight apparatus having movable motors,2006.12.15,US
UAM,기체•부품,기계•전기전자 시스템,System and method for avoiding inadvertant entry into an unsafe vertical descent speed region for rotorcraft,2015.02.16,US
UAM,기체•부품,기계•전기전자 시스템,Parallel actuation control system providing dual mode operator control inputs for a compound aircraft,2019.08.22,US
UAM,기체•부품,기계•전기전자 시스템,Vertical speed and flight path command algorithm for displacement collective utilizing tactile cueing and tactile feedback,2008.03.18,US
UAM,기체•부품,기계•전기전자 시스템,Vertical speed and flight path command algorithm for displacement collective utilizing tactile cueing and tactile feedback,2008.03.18,US
UAM,기체•부품,기계•전기전자 시스템,Vertical speed and flight path command module for displacement collective utilizing tactile cueing and tactile feedback,2007.03.19,US
UAM,기체•부품,기계•전기전자 시스템,Life improving flight control system,2010.09.10,US
UAM,기체•부품,기계•전기전자 시스템,Life improving flight control system,2010.08.26,US
UAM,기체•부품,기계•전기전자 시스템,High trim demand relief,2017.04.11,US
UAM,기체•부품,기계•전기전자 시스템,Stabilized approach to a point in degraded visual environment,2008.08.18,US
UAM,기체•부품,기계•전기전자 시스템,Stabilized approach to a point in degraded visual environment,2008.08.18,US
UAM,기체•부품,기계•전기전자 시스템,Stabilized approach to a point in degraded visual environment,2008.08.18,US
UAM,기체•부품,기계•전기전자 시스템,Model based sensor system for loads aware control laws,2007.06.01,US
UAM,기체•부품,기계•전기전자 시스템,Model based sensor system for loads aware control laws,2008.05.30,US
UAM,기체•부품,기계•전기전자 시스템,Rotorcraft fly-by-wire control laws,2017.08.28,US
UAM,기체•부품,기체구조,Integrated hover display with augmented approach to hover symbology cueing for degraded visual environmental conditions,2005.04.21,US
UAM,기체•부품,기체구조,Integrated hover display with radar altitude predictor for indicating height above ground,2006.06.20,US
UAM,기체•부품,기계•전기전자 시스템,Attitude and acceleration command velocity hold algorithm for rotorcraft with large center of gravity range,2008.04.01,US
UAM,기체•부품,기계•전기전자 시스템,Altitude and acceleration command altitude hold algorithm for rotorcraft with large center of gravity range,2008.04.01,US
UAM,기체•부품,기계•전기전자 시스템,Altitude and acceleration command altitude hold algorithm for rotorcraft with large center of gravity range,2007.04.03,US
UAM,기체•부품,기계•전기전자 시스템,Altitude and acceleration command altitude hold algorithm for rotorcraft with large center of gravity range,2013.12.09,US
UAM,기체•부품,기체구조,System and method for controlling the flight of a fixed-wing convertible drone for providing a stabilised seamless transition between a vertical stationary flight and a horizontal cruise flight (système et procédé de contrôle de vol d'un drone convertible à voilure fixe permettant une transition continue stabilisée entre un vol stationnaire vertical et un vol de croisière à l'horizontal),2019.05.23,FR
UAM,기체•부품,기계•전기전자 시스템,Aircraft control system based on sparse set of simulation data,2018.09.10,US
UAM,기체•부품,기계•전기전자 시스템,Aircraft control system based on sparse set of simulation data,2017.12.12,US
UAM,기체•부품,기체구조,Passenger discomfort-aware flight control system,2022.09.16,FR
UAM,기체•부품,동력•추진 시스템,Variable lower limit collective governor to improve recovery,2013.05.08,US
UAM,기체•부품,기계•전기전자 시스템,Control surface failure detection for fly-by-wire aircraft,2008.05.07,US
UAM,기체•부품,기계•전기전자 시스템,Flying object takeoff control system,2021.05.25,JP
UAM,기체•부품,기체구조,"Method and computer program for controlling tilt angle of main rotor on basis of vertical attitude control signal low-speed flight state, and vertical take-off and landing aircraft (저속비행상태에서 세로 자세 제어 신호에 기초하여 메인로터의 틸트 각도를 제어하는 방법 및 컴퓨터 프로그램과 수직 이착륙 비행체)",2018.09.28,KR
UAM,기체•부품,동력•추진 시스템,Flight device,2019.01.30,TW
UAM,기체•부품,기계•전기전자 시스템,Flight direction indication system for an aerial vehicle and method of indicating a flight direction of an aerial vehicle,2019.07.14,DE
UAM,기체•부품,기계•전기전자 시스템,Flight guidance and navigation display for a helicopter,2009.05.06,DE
UAM,항행•교통관리,UAM 탑재 통신,Flight guidance system,2017.01.09,JP
UAM,기체•부품,기체구조,Flight icing numerical simulation method of helicopter rotor wing (直升机旋翼飞行结冰的数值模拟方法),2011.11.30,CN
UAM,기체•부품,동력•추진 시스템,Flight instrument displaying a variable rotational speed of a main rotor of an aircraft,2015.01.28,FR
UAM,기체•부품,기체구조,Flight module,2018.12.13,DE
UAM,기체•부품,기체구조,Flight module for an aerial vehicle,2018.07.20,JP
UAM,인프라,버티포트 구축 및 운용,A panel data model based on the flying heavy landing prediction method,2015.07.15,CN
UAM,인프라,버티포트 보조설비,"Flight path generation apparatus, aircraft system, flight path generation method, and readable medium",2020.04.16,JP
UAM,항행•교통관리,UAM 최적항로 예측,Planning a flight path by identifying key frames,2016.04.15,US
UAM,기체•부품,기체구조,Autonomous nap-of-the-earth (anoe) flight path planning for manned and unmanned rotorcraft,2016.11.10,US
UAM,기체•부품,기체구조,Autonomous nap-of-the-earth (anoe) flight path planning for manned and unmanned rotorcraft,2015.01.19,US
UAM,기체•부품,기계•전기전자 시스템,Improved stabilization for flight platforms,2007.02.22,IL
UAM,기체•부품,기계•전기전자 시스템,Improved stabilization for flight platforms,2007.03.07,IL
UAM,기체•부품,기계•전기전자 시스템,Stabilization for flight platforms,2006.11.27,IL
UAM,기체•부품,기체구조,Unfolding and folding type vertical take-off and landing personal flight backpack,2020.06.02,CN
UAM,기체•부품,기체구조,Flight propulsion system based on rotary and stationary devices,2020.06.24,PT
UAM,기체•부품,동력•추진 시스템,Flight robot (飛行ロボット),2019.03.05,JP
UAM,기체•부품,동력•추진 시스템,Flight robot,2019.03.05,JP
UAM,항행•교통관리,UAM 비행•항법,"Flight route generation method, flight route generation device, flight route generation program, and terminal device (飛行ルート生成方法、飛行ルート生成装置、飛行ルート生成プログラム及び端末装置)",2016.07.08,US
UAM,항행•교통관리,UAM 통합 교통관리,"Flight route generation method, flight route generation device, flight route generation program and terminal device",2016.07.08,US
UAM,기체•부품,기계•전기전자 시스템,"A system for drones stabilization with improved flight safety, including weapons carrying drones",2021.09.02,IL
UAM,기체•부품,동력•추진 시스템,"A system for drones stabilization, with improved flight safety",2020.09.02,IL
UAM,기체•부품,기계•전기전자 시스템,"Flight status inspection system, flight status inspection method, and program (飛行状態検査システム、飛行状態検査方法及びプログラム)",2019.02.07,JP
UAM,기체•부품,기계•전기전자 시스템,"Flight status inspection system, flight status inspection method, and program",2019.02.07,JP
UAM,기체•부품,기계•전기전자 시스템,"Flight status inspection system, flight status inspection method, and program",2019.02.07,JP
UAM,기체•부품,기계•전기전자 시스템,Multi-objective control system with control allocation,2017.03.02,US
UAM,기체•부품,기계•전기전자 시스템,Multi-objective control system with control allocation,2017.02.24,US
UAM,기체•부품,기계•전기전자 시스템,"Flight system, aircraft, sound apparatus and sound processing method",2015.03.31,CN
UAM,기체•부품,기계•전기전자 시스템,Flight vehicle and method for controlling flight vehicle,2018.04.10,JP
UAM,기체•부품,기계•전기전자 시스템,Flight vehicle and flight vehicle control system (飛行体および飛行体制御システム),2019.11.11,JP
UAM,기체•부품,동력•추진 시스템,Aircraft,2017.01.20,CN
UAM,기체•부품,동력•추진 시스템,Flight vehicle and control method thereof (一种飞行器及其控制方法),2017.12.13,CN
UAM,기체•부품,동력•추진 시스템,An aircraft and its control method,2017.01.20,CN
UAM,기체•부품,기계•전기전자 시스템,Control and stabilization of a flight vehicle from a detected perturbation by tilt and rotation,2019.02.07,US
UAM,기체•부품,기계•전기전자 시스템,Control and stabilization of a flight vehicle from a detected perturbation by tilt and rotation,2018.03.26,US
UAM,기체•부품,기계•전기전자 시스템,Control and stabilization of a flight vehicle from a detected perturbation by tilt and rotation,2019.02.07,US
UAM,기체•부품,기계•전기전자 시스템,Control and stabilization of a flight vehicle from a detected perturbation by tilt and rotation,2016.04.05,US
UAM,기체•부품,기계•전기전자 시스템,Control and stabilization of a flight vehicle from a detected perturbation by tilt and rotation,2021.01.07,US
UAM,기체•부품,기체구조,Flying body,2021.10.07,JP
UAM,기체•부품,기계•전기전자 시스템,"Information processor, information processing method, program, and flight vehicle system",2020.11.10,JP
UAM,기체•부품,인증•시험평가,Flight vehicle (飛行体),2010.07.26,JP
UAM,기체•부품,동력•추진 시스템,Flight-assisted device for automobile,2018.10.30,CN
UAM,기체•부품,기체구조,Floatation system,2002.09.18,US
UAM,기체•부품,기체구조,Floatation system including life raft,2004.02.11,US
UAM,기체•부품,기체구조,Floatation system including life raft,2006.09.29,US
UAM,인프라,버티포트 구축 및 운용,Marine docking stations,2012.11.21,NO
UAM,항행•교통관리,UAM 비행•항법,Floating moving device,2020.12.22,JP
UAM,기체•부품,동력•추진 시스템,Removable floor system with auxiliary fuel tanks for an aircraft,2019.06.18,IL
UAM,기체•부품,기계•전기전자 시스템,Flow control method and rotary wing unit,2021.10.22,JP
UAM,항행•교통관리,UAM 탑재 통신,Flow path splitter duct,2005.10.06,US
UAM,기체•부품,기계•전기전자 시스템,Flow-mechanically effective surface for minimising induced resistance (strömungsmechanisch wirksame fläche zur minimierung des induzierten widerstands),2004.01.21,DE
UAM,기체•부품,기계•전기전자 시스템,Flow-mechanically effective surface for minimizing induced resistance,2004.01.21,FR
UAM,기체•부품,기계•전기전자 시스템,Operation of a cooling unit with a minimal working pressure (betrieb einer kühleinrichtung mit einem minimalen arbeitsdruck),2021.03.29,DE
UAM,기체•부품,기계•전기전자 시스템,Fluid dynamic device with thrust control shroud,2009.05.07,JP
UAM,기체•부품,기계•전기전자 시스템,Airborne craft with a fluid dynamic device with thrust control shroud,2009.05.07,JP
UAM,기체•부품,기계•전기전자 시스템,Fluid dynamic device with thrust control shroud,2009.05.07,JP
UAM,기체•부품,기계•전기전자 시스템,Fluid dynamic device with thrust control shroud,2009.05.07,JP
UAM,기체•부품,동력•추진 시스템,Fluid flow control mechanism,2002.08.06,US
UAM,기체•부품,동력•추진 시스템,"Fuel feed network for a rotorcraft engine, the network including means for priming a pump for sucking fuel from a feed tank",2013.04.25,FR
UAM,기체•부품,동력•추진 시스템,"Fluid temperature control installation for rotorcraft, associating a system for cooling a power plant with a system for heating a cabin",2013.01.15,FR
UAM,기체•부품,동력•추진 시스템,Fly/drive vehicle that is convertible between a road riding condition and a flying condition,2018.02.12,NL
UAM,기체•부품,기계•전기전자 시스템,Pilot activated trim for fly-by-wire aircraft,2017.01.12,US
UAM,기체•부품,기계•전기전자 시스템,Rotorcraft flight control stick tiltably mounted on a support by a flexible rod with a fixed end,2014.05.28,FR
UAM,기체•부품,동력•추진 시스템,Fly-by-wire mechanical control system,2018.02.26,US
UAM,기체•부품,동력•추진 시스템,Rotorcraft fly-by-wire go-around mode,2020.05.18,US
UAM,기체•부품,동력•추진 시스템,Rotorcraft fly-by-wire go-around mode,2017.02.02,US
UAM,기체•부품,기체구조,Rotorcraft fly-by-wire flight resume mode,2018.02.02,US
UAM,기체•부품,동력•추진 시스템,Level and climb automated maneuver for a fly-by-wire rotorcraft,2017.04.03,US
UAM,기체•부품,동력•추진 시스템,"Fbw flight control system, method and rotorcraft",2018.02.26,US
UAM,기체•부품,동력•추진 시스템,Rotorcraft fly-by-wire standard rate turn control,2017.09.18,US
UAM,기체•부품,동력•추진 시스템,Rotorcraft fly-by-wire standard rate turn,2017.02.27,US
UAM,기체•부품,기계•전기전자 시스템,Autonomous reconfiguration of a multi-redundant actuator control system,2018.02.01,US
UAM,기체•부품,기체구조,Fly-drive vehicle,2004.10.08,US
UAM,기체•부품,기체구조,A flying aircraft supported by a birotor having dihedral blades,2007.06.20,IT
UAM,기체•부품,동력•추진 시스템,High voltage flying apparatus employing multiple motors,2010.10.19,US
UAM,기체•부품,기체구조,Flying apparatus,2019.04.05,ES
UAM,항행•교통관리,UAM 통합 교통관리,Flying apparatus,2015.10.13,CH
UAM,항행•교통관리,UAM 통합 교통관리,Flying apparatus,2015.10.13,CH
UAM,기체•부품,기체구조,Flying apparatus,2015.10.13,EP
UAM,항행•교통관리,UAM 통합 교통관리,Flying apparatus,2015.10.13,CH
UAM,기체•부품,동력•추진 시스템,Personal aircraft,2013.07.16,US
UAM,기체•부품,동력•추진 시스템,Flying object,2020.11.19,JP
UAM,기체•부품,동력•추진 시스템,Flying body and inspection method (飛行体及び検査方法),2021.12.24,JP
UAM,기체•부품,기체구조,Vertically movable flying body (垂直移動可能な飛行体),2005.03.30,JP
UAM,기체•부품,동력•추진 시스템,Flying body (飛行体),2016.07.27,JP
UAM,기체•부품,기계•전기전자 시스템,"Flying body, control method, and program",2020.05.08,JP
UAM,기체•부품,기체구조,Flying body having an upper blower equipped with rotating blades for pumping air in axial flow direction,2008.02.05,JP
UAM,기체•부품,기체구조,Amphibious vertical takeoff and landing unmanned device,2017.10.13,CN
UAM,기체•부품,동력•추진 시스템,Flying car (飞行汽车),2009.10.26,CN
UAM,기체•부품,기체구조,Flying car with vertical takeoff and landing (垂直起降飞行汽车),2010.08.04,CN
UAM,기체•부품,동력•추진 시스템,Flying car (飞行汽车),2021.11.26,CN
UAM,기체•부품,동력•추진 시스템,Flying cars,2021.07.20,CN
UAM,기체•부품,기계•전기전자 시스템,Flying cleaning device capable of wall-climbing (可爬壁的飞行清洁装置),2016.06.21,CN
UAM,기체•부품,기체구조,Discoidal flying craft,2008.08.08,US
UAM,기체•부품,기체구조,Unmanned aerial vehicle and control method of unmanned aerial vehicle,2017.07.19,JP
UAM,기체•부품,기계•전기전자 시스템,Flying device for spraying and control method thereof,2020.08.24,CN
UAM,기체•부품,기계•전기전자 시스템,Flying device,2019.02.20,JP
UAM,기체•부품,동력•추진 시스템,Flying device,2019.10.14,JP
UAM,기체•부품,동력•추진 시스템,Flying device,2019.09.30,JP
UAM,기체•부품,동력•추진 시스템,Flying device,2019.10.08,JP
UAM,기체•부품,동력•추진 시스템,"Shock absorbable flying device, method of flying the same, and recording medium",2018.09.19,JP
UAM,기체•부품,기계•전기전자 시스템,"Flight device, mobile device, electronic device and, and computer-readable storage medium",2016.09.21,JP
UAM,기체•부품,기체구조,Discoidal flying craft,2005.08.22,US
UAM,기체•부품,기체구조,Discoidal flying craft,2006.02.21,US
UAM,기체•부품,기체구조,Discoidal flying craft,2006.02.21,US
UAM,기체•부품,기체구조,Auto-gyro rotor flying electric generator,2013.12.06,US
UAM,기체•부품,기체구조,Auto-gyro rotor flying electric generator (feg) with wing lift augmentation,2013.12.05,US
UAM,기체•부품,동력•추진 시스템,A flying machine comprising twin contra-rotating vertical axis propellers,2009.06.01,GB
UAM,기체•부품,동력•추진 시스템,A flying machine comprising twin contra-rotating vertical axis propellers,2009.06.01,GB
UAM,기체•부품,기계•전기전자 시스템,Flying machine capable of blocking light autonomously,2015.12.29,TW
UAM,기체•부품,기계•전기전자 시스템,Enclosing the blocking light aircraft,2015.12.10,CN
UAM,기체•부품,동력•추진 시스템,Flying machine comprising twin contra-rotating vertical axis propellers,2009.06.01,GB
UAM,기체•부품,동력•추진 시스템,Includes a pair of reverse rotation of the propeller of the vertical axis of the aircraft,2009.06.01,GB
UAM,기체•부품,동력•추진 시스템,"Convertible flying machine (variants), method of using a convertible flying machine (variants), transport device",2019.10.17,UA
UAM,기체•부품,기계•전기전자 시스템,Flying machine and control method of flying machine,2019.03.26,JP
UAM,기체•부품,기체구조,Micro-rotorcraft surveillance system,2002.12.19,US
UAM,기체•부품,기체구조,Micro-rotocraft surveillance system,2002.12.19,US
UAM,기체•부품,기체구조,Micro-rotorcraft surveillance system,2006.12.26,US
UAM,기체•부품,기계•전기전자 시스템,Flying mowing method and apparatus (一种飞行割草方法及装置),2016.10.28,CN
UAM,기체•부품,기체구조,Flying object,2019.02.07,JP
UAM,기체•부품,기체구조,Flying object (飛行体),2019.02.07,JP
UAM,기체•부품,기체구조,Flying object,2019.02.07,JP
UAM,기체•부품,동력•추진 시스템,Flying object (비행체),2016.10.28,KR
UAM,기체•부품,기계•전기전자 시스템,Flying object and system,2020.01.07,JP
UAM,기체•부품,동력•추진 시스템,Flying object with a rotational effect,2002.03.07,YU
UAM,기체•부품,동력•추진 시스템,Flying object with tandem rotors,2008.10.06,HK
UAM,기체•부품,동력•추진 시스템,Flying object with tandem rotors,2007.04.17,HK
UAM,기체•부품,동력•추진 시스템,Flying object with tandem rotors,2008.08.07,HK
UAM,기체•부품,동력•추진 시스템,Flying object with tandem rotors,2008.11.04,HK
UAM,기체•부품,기체구조,Vertical take off and landing vehicle,2020.03.04,NL
UAM,기체•부품,기체구조,Flying platform,2013.06.06,GB
UAM,기체•부품,기체구조,Flying platform,2013.06.06,GB
UAM,기체•부품,기체구조,Flying platform with a lift rotor,2009.07.31,HK
UAM,기체•부품,동력•추진 시스템,Flying robot,2019.03.05,JP
UAM,기체•부품,기체구조,A tobacco flying top-of-the-top robot,2020.06.24,CN
UAM,기체•부품,기체구조,Flying robot for top pruning tobacco (一种烟草飞行打顶机器人),2020.06.30,CN
UAM,기체•부품,기계•전기전자 시스템,Flying saucer,2015.03.06,CN
UAM,기체•부품,동력•추진 시스템,A flying shell for portable electronic device,2020.06.09,IN
UAM,기체•부품,동력•추진 시스템,Detachable propeller for flying toys,2013.07.04,HK
UAM,기체•부품,기체구조,Flying toy having boomerang flight characteristics and controlled landing abilities,2010.02.18,US
UAM,기체•부품,기체구조,Flying toy,2010.01.29,HK
UAM,기체•부품,기체구조,Flying toy,2010.12.06,HK
UAM,기체•부품,동력•추진 시스템,Detachable propeller for flying toys,2012.07.30,HK
UAM,기체•부품,동력•추진 시스템,Flying toy vehicle (一种飞行玩具车),2013.09.26,CN
UAM,기체•부품,기체구조,Vertical take off and landing vehicle,2020.03.04,NL
UAM,기체•부품,기체구조,Vertical take off and landing vehicle,2020.03.04,NL
UAM,기체•부품,기체구조,Active maple seed flyer,2012.06.26,US
UAM,기체•부품,동력•추진 시스템,Directionally controllable flying vehicle and a propeller mechanism for accomplishing the same,2009.03.30,US
UAM,기체•부품,동력•추진 시스템,Directionally controllable flying vehicle and a propeller mechanism for accomplishing the same,2009.03.30,US
UAM,기체•부품,동력•추진 시스템,Directionally controllable flying vehicle and a propeller mechanism for accomplishing the same,2009.03.30,US
UAM,기체•부품,기체구조,Flying vehicle thrust device,2018.04.04,US
UAM,기체•부품,기체구조,Twin rotor flying vehicle,2008.10.10,FR
UAM,기체•부품,동력•추진 시스템,Propulsion system thermal management,2021.01.28,GB
UAM,기체•부품,기체구조,Switching arrangement of flying vehicle running on road surface and flying in air,2019.08.20,CN
UAM,기체•부품,기체구조,Multi-rotor personal air vehicle with a central lifting fan,2018.02.07,US
UAM,기체•부품,기체구조,Multi-rotor personal air vehicle with a central lifting fan,2016.01.04,US
UAM,기체•부품,기체구조,Multi-rotor personal air vehicle with a central lifting fan,2016.01.04,US
UAM,기체•부품,기체구조,Multi-rotor personal air vehicle with a central lifting fan,2020.05.13,US
UAM,기체•부품,기체구조,Flying wing vertical take-off and landing aircraft,2015.11.19,US
UAM,기체•부품,기체구조,Flying wing vertical take-off and landing aircraft,2015.11.19,US
UAM,기체•부품,기계•전기전자 시스템,Fire fighting nozzle for projecting fog cloud,2004.08.17,US
UAM,기체•부품,동력•추진 시스템,"Foldable and retractable mechanism, propeller protection device, and rotor unmanned aerial vehicle",2021.01.08,CN
UAM,기체•부품,동력•추진 시스템,Foldable arm and unmanned aerial vehicle (折叠机臂及无人机),2020.12.10,CN
UAM,기체•부품,기체구조,A foldable composite-wing manned aircraft with double-propeller-thrust composite auxiliary wings,2018.05.31,CN
UAM,기체•부품,기체구조,Foldable multi-rotor uav,2017.12.18,CN
UAM,기체•부품,기체구조,Foldable multi-rotor unmanned aerial vehicle,2018.06.04,CN
UAM,기체•부품,동력•추진 시스템,A foldable propeller assembly,2021.01.08,NO
UAM,기체•부품,동력•추진 시스템,Foldable rise and stare vehicle,2012.07.06,US
UAM,기체•부품,동력•추진 시스템,Method and apparatus for in-flight blade folding,2010.06.15,US
UAM,기체•부품,동력•추진 시스템,Method and apparatus for in-flight blade folding,2010.06.15,US
UAM,기체•부품,동력•추진 시스템,Method and apparatus for in-flight blade folding,2010.06.15,US
UAM,기체•부품,동력•추진 시스템,Method and apparatus for in-flight blade folding,2010.06.15,US
UAM,기체•부품,기체구조,Foldable tandem wing aircraft,2019.06.20,PH
UAM,기체•부품,기체구조,Foldable unmanned aerial vehicle,2015.12.29,CN
UAM,기체•부품,기체구조,Foldable unmanned aerial vehicle (一种可折叠的无人机),2015.12.29,CN
UAM,기체•부품,기체구조,Foldable wing of small unmanned aerial vehicle (一种小型无人机折叠机翼),2016.08.10,CN
UAM,기체•부품,기체구조,Foldable wings for uas having a geared interface,2018.10.01,US
UAM,기체•부품,동력•추진 시스템,Foldable arm mechanism for rotary wing aircraft,2017.03.30,US
UAM,기체•부품,기체구조,Foldable four-rotor individual soldier unmanned aerial vehicle,2018.10.19,CN
UAM,기체•부품,기체구조,Folding multi-rotor vertical takeoff and landing aircraft,2019.08.26,US
UAM,기체•부품,동력•추진 시스템,"Method, device and equipment for controlling folding propeller",2018.06.21,CN
UAM,기체•부품,동력•추진 시스템,"Folding propeller control method and apparatus, and device (折叠螺旋桨控制方法、装置和设备)",2018.10.31,CN
UAM,기체•부품,기체구조,Propeller-hub assembly with folding blades for vtol aircraft,2017.05.30,HR
UAM,기체•부품,동력•추진 시스템,"Folding and folding structure, rotary wing power assembly and tilting rotorcraft",2016.10.31,CN
UAM,기체•부품,기체구조,"Folding structure, folding structure of unmanned aerial vehicle, and movable platform (折叠结构、无人飞行器的折叠结构及可移动平台)",2019.10.30,CN
UAM,기체•부품,기체구조,"Folding telescopic mechanism, propeller protection device and rotor unmanned aerial vehicle (折叠伸缩机构、螺旋桨保护装置及旋翼无人机)",2018.07.11,CN
UAM,기체•부품,기체구조,Folding wing unmanned aerial vehicle,2020.06.28,CN
UAM,기체•부품,기계•전기전자 시스템,System and method for frequency domain rotor mode decomposition,2018.11.06,US
UAM,기체•부품,기계•전기전자 시스템,Harmonic force generator for an active vibration control system,2004.09.30,US
UAM,기체•부품,기계•전기전자 시스템,Method and control arrangement for adjusting a flap that is pivotally supported in a rotor blade of a helicopter,2002.04.01,DE
UAM,기체•부품,동력•추진 시스템,Helicopter force-feel and stability augmentation system with parallel servo-actuator,2004.02.05,US
UAM,기체•부품,기체구조,A forest fire cruise detection without man-machine,2016.12.30,CN
UAM,기체•부품,기계•전기전자 시스템,Method of controlling fires,2002.01.23,US
UAM,기체•부품,기계•전기전자 시스템,Forest-guarding fireproof device using high tower to monitor forest flame and smoke to realize timely fire extinguishing,2013.01.22,CN
UAM,기체•부품,기체구조,A four-axle vertical take-off and landing fixed-wing aircraft,2018.10.30,CN
UAM,기체•부품,기체구조,Forward-pull aircraft,2018.10.30,CN
UAM,기체•부품,동력•추진 시스템,Four-axis tornado lift device,2018.03.02,CN
UAM,기체•부품,동력•추진 시스템,Four-rotor aircraft for fire inspection of unmanned engine room of ship and control method thereof,2017.10.17,CN
UAM,기체•부품,기계•전기전자 시스템,Four-rotor aircraft output constrained control method based on asymmetric time-invariant logarithmic tangent compound constraint lyapunov function,2018.03.15,CN
UAM,기체•부품,기계•전기전자 시스템,Based on asymmetric time-invariant obstacles liyapunuofu function of four rotary wing aircraft output limited counter-step control method,2017.12.06,CN
UAM,기체•부품,기계•전기전자 시스템,Four-rotor aircraft output limited backstepping control method based on asymmetric time-varying obstacle liapunov function,2017.12.06,CN
UAM,기체•부품,기계•전기전자 시스템,Four-rotor aircraft total state constrained control method based on symmetric time-invariant exponential tangent compound constraint lyapunov function,2018.03.15,CN
UAM,기체•부품,동력•추진 시스템,Four-rotor aircraft with helicopter protective plate structure,2016.03.03,CN
UAM,기체•부품,기체구조,Unmanned aerial vehicle,2020.06.05,CN
UAM,기체•부품,동력•추진 시스템,Radial engine,2004.02.20,JP
UAM,기체•부품,동력•추진 시스템,Radial engine,2004.02.20,JP
UAM,기체•부품,동력•추진 시스템,Radial engine,2004.02.20,JP
UAM,기체•부품,동력•추진 시스템,Radial engine,2004.02.20,JP
UAM,기체•부품,동력•추진 시스템,Fractal tetrahedron unmanned aircraft system assembly,2020.12.14,US
UAM,기체•부품,기체구조,"Frame of multi-rotor unmanned aerial vehicle, and agricultural plant protection unmanned aerial vehicle and control method therefor (多旋翼无人飞行器的机架、农业植保无人机及控制方法)",2020.11.09,CN
UAM,기체•부품,기체구조,Frame for unmanned flying object (無人飛行体用フレーム),2018.04.27,JP
UAM,기체•부품,기체구조,Rack and multi-rotor unmanned aerial vehicle,2017.08.29,CN
UAM,기체•부품,기계•전기전자 시스템,Aerial system including foldable frame architecture,2018.10.10,CN
UAM,기체•부품,기체구조,"Frame assembly of unmanned aerial vehicle, and unmanned aerial vehicle (无人飞行器的机架组件及无人飞行器)",2017.08.28,CN
UAM,기체•부품,기체구조,"Frame for unmanned aerial vehicle, unmanned aerial vehicle, and kit (用于无人飞行器的机架、无人飞行器及套件)",2021.09.10,CN
UAM,항행•교통관리,UAM 탑재 통신,"Unmanned aerial vehicle frame, unmanned aerial vehicle and antenna switching method",2016.11.23,CN
UAM,항행•교통관리,UAM 탑재 통신,"The frame of the unmanned aircraft, unmanned aircraft and antenna switching method",2016.11.23,CN
UAM,기체•부품,기체구조,Frame structure for small-sized single-rotor unmanned helicopter with water storage tank mounting rack,2015.12.03,CN
UAM,기체•부품,인증•시험평가,Multi sensor support structure,2017.05.17,US
UAM,인프라,버티포트 보조설비,Vortex energy recovery turbine,2013.04.10,US
UAM,기체•부품,기체구조,Fuel cell child-mother unmanned aerial vehicle,2022.03.03,CN
UAM,기체•부품,동력•추진 시스템,Bubble collector for suction fuel system,2013.12.06,US
